"cpu","memory","averagert","trueparallel","dbaverage","maxrt","totalrequests","loadgeneratorinstances","appinstances","testround"
435.58,2048.00,16.2166721286327885,155.0476022218580909,2.594,1361.00,573664,80,3,34
439.58,2048.00,16.7509771910835584,155.2648075841535027,2.381,3038.00,556186,80,3,33
434.32,2048.00,16.2439229625077687,155.0644886000991600,2.364,3035.00,572812,80,3,32
433.83,2048.00,15.8211300706115006,147.1997941769694016,2.495,1063.00,558266,76,3,31
395.78,2048.00,17.3215865658885408,138.1396528629611128,2.105,1065.00,478543,76,3,30
442.56,1945.60,15.2192891000169163,146.9422362606633269,2.071,1304.00,579322,76,3,29
428.58,1945.60,14.7943495750386651,139.0077086070632974,2.109,1061.00,563816,72,3,28
428.41,1945.60,14.8860719311042193,139.1103421961689295,1.953,1152.00,560731,72,3,27
383.75,1945.60,15.4225614427316219,131.5236039836152717,1.708,3025.00,511696,68,3,26
417.75,1945.60,14.3123353759291205,131.2154907265181768,1.861,3028.00,550117,68,3,25
411.65,1945.60,14.4680873345116094,131.2400202113548089,1.879,1213.00,544298,68,3,24
411.169,1945.60,13.5232070832364503,123.1017540787014071,1.726,1048.00,546191,64,3,23
402.69,1945.60,14.3062256141426882,123.6200955318069688,1.745,3015.00,518487,64,3,22
408.69,1945.60,14.5147995174834184,123.9273582802734263,1.983,3068.00,512314,64,3,21
393.557,1945.60,13.2803127572964228,115.3262359843621356,1.627,1133.00,521043,60,3,20
377.352,1843.20,12.6233554952722939,107.3363917763003150,1.592,1127.00,510184,56,3,19
381.79,1638.40,11.9521660179502700,99.3822604392564950,1.444,1036.00,498934,52,3,18
377.47,1638.40,13.0944424485620513,107.5184669451430032,1.623,1047.00,492681,56,3,17
,,8.5834628535903015,0.91843052533416226065,,70.00,6434,1,3,0
